slabinfo - version: 2.1
# name            <active_objs> <num_objs> <objsize> <objperslab> <pagesperslab> : tunables <limit> <batchcount> <sharedfactor> : slabdata <active_slabs> <num_slabs> <sharedavail>
lsm_file_cache     38260  45824     16  256    1 : tunables    0    0    0 : slabdata    179    179      0
key_jar               15    128    256   32    2 : tunables    0    0    0 : slabdata      4      4      0
uts_namespace          0      0    432   37    4 : tunables    0    0    0 : slabdata      0      0      0
nsproxy             1064   1064     72   56    1 : tunables    0    0    0 : slabdata     19     19      0
vma_lock          382461 446528     64   64    1 : tunables    0    0    0 : slabdata   6977   6977      0
vm_area_struct    381969 432020    200   20    1 : tunables    0    0    0 : slabdata  21601  21601      0
fs_cache            1549   1856     64   64    1 : tunables    0    0    0 : slabdata     29     29      0
files_cache          611    736    704   23    4 : tunables    0    0    0 : slabdata     32     32      0
signal_cache        1050   1260   1152   28    8 : tunables    0    0    0 : slabdata     45     45      0
sighand_cache        991   1125   2112   15    8 : tunables    0    0    0 : slabdata     75     75      0
task_struct         7510   8568   4800    6    8 : tunables    0    0    0 : slabdata   1428   1428      0
cred_jar            1677   2100    192   21    1 : tunables    0    0    0 : slabdata    100    100      0
anon_vma_chain    245682 270016     64   64    1 : tunables    0    0    0 : slabdata   4219   4219      0
anon_vma          132878 145184    128   32    1 : tunables    0    0    0 : slabdata   4537   4537      0
pid                 7834   9504    128   32    1 : tunables    0    0    0 : slabdata    297    297      0
perf_event           480    480   1072   30    8 : tunables    0    0    0 : slabdata     16     16      0
trace_event_file    6090   6118     88   46    1 : tunables    0    0    0 : slabdata    133    133      0
ftrace_event_field   6376   6497     56   73    1 : tunables    0    0    0 : slabdata     89     89      0
pool_workqueue       704    704    256   32    2 : tunables    0    0    0 : slabdata     22     22      0
maple_node         44868  67328    256   32    2 : tunables    0    0    0 : slabdata   2104   2104      0
radix_tree_node    55868  62104    584   28    4 : tunables    0    0    0 : slabdata   2218   2218      0
task_group            10     32    512   32    4 : tunables    0    0    0 : slabdata      1      1      0
mm_struct            662    896   1024   32    8 : tunables    0    0    0 : slabdata     28     28      0
vmap_area          27311  39424     64   64    1 : tunables    0    0    0 : slabdata    616    616      0
kmalloc-rcl-8k         0      0   8192    4    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-4k         0      0   4096    8    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-2k         0      0   2048   16    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-1k         0      0   1024   32    8 : tunables    0    0    0 : slabdata      0      0      0
kmalloc-rcl-512        0      0    512   32    4 : tunables    0    0    0 : slabdata      0      0      0
